N,P,K,temperature,humidity,ph,wind_speed,rainfall,weather_condition,weather_suitability,label
90,42,43,20.87974371,82.00274423,6.502985292,7.9,202.9355362,Rainy,High,rice
85,58,41,21.77046169,80.31964408,7.038096361,7.7,226.6555374,Rainy,High,rice
60,55,44,23.00445915,82.3207629,7.840207144,5.2,263.9642476,Rainy,High,rice
74,35,40,26.49109635,80.15836264,6.980400905,5.8,242.8640342,Rainy,High,rice
71,54,16,22.61359953,63.69070564,5.749914421,3.9,87.75953857,Clear,High,maize
61,44,17,26.10018422,71.57476937,6.931756558,5.3,102.2662445,Clear,High,maize
80,43,16,23.55882094,71.59351368,6.657964753,3.9,66.71995467,Clear,High,maize
73,58,21,19.97215954,57.68272924,6.596060648,5.6,60.65171481,Cool,Medium,maize
61,38,20,18.47891261,62.69503871,5.970458434,5,65.43835393,Cool,Medium,maize
40,72,77,17.02498456,16.98861173,7.485996067,6.6,88.55123143,Cool,Medium,chickpea
23,72,84,19.02061277,17.13159126,6.920251378,8.3,79.92698081,Cool,Medium,chickpea
39,58,85,17.88776475,15.40589717,5.996932037,7,68.54932919,Cool,Medium,chickpea
13,60,25,17.13692774,20.59541693,5.68597166,7.9,128.256862,Cool,Medium,kidneybeans
25,70,16,19.63474332,18.90705639,5.759237003,8.8,106.3598183,Cool,Medium,kidneybeans
31,55,22,22.91350245,21.33953114,5.873171894,5.4,109.225556,Clear,Medium,kidneybeans
40,59,23,36.89163721,62.73178224,5.269084669,4.6,163.7266551,Hot,Medium,pigeonpeas
33,73,23,29.23540524,59.38967583,5.985792703,4.5,103.3301803,Clear,Medium,pigeonpeas
8,60,18,31.21629982,46.01868196,3.808429173,3.6,53.1205277,Hot,Medium,mothbeans
24,37,21,30.573999,58.22686794,5.818219385,5,62.74803826,Hot,Medium,mothbeans
22,43,24,25.42517036,53.2208266,4.52363558,4.8,46.19374559,Clear,Medium,mothbeans
24,53,17,28.95451232,89.07866095,6.421271178,4.5,57.65901369,Clear,Medium,mungbean
13,47,20,29.21780035,87.93724219,6.54450214,5.6,43.1386631,Clear,Medium,mungbean
31,53,16,28.7420098,85.81675947,6.452006451,3.3,48.54598575,Clear,Medium,mungbean
29,76,15,28.5417236,64.2020154,7.025607706,4.8,69.68862306,Clear,Medium,blackgram
43,61,20,26.87187036,61.61367264,6.804253866,3.6,63.51822045,Clear,Medium,blackgram
13,61,22,19.44084326,63.27771461,7.728832424,5.4,46.83130119,Cool,Medium,lentil
38,60,20,29.84823072,60.63872613,7.491217102,4.1,46.80452595,Clear,Medium,lentil
11,74,17,21.36383757,69.92375891,6.633864582,5.4,46.6352865,Clear,Medium,lentil
9,8,40,22.48720144,89.9224883,6.553509673,3.5,111.6631582,Clear,Medium,pomegranate
40,27,45,21.6602498,94.79397419,5.885638185,4.2,112.4349689,Clear,Medium,pomegranate
22,23,44,20.13037175,89.31505137,6.143874691,4.6,107.3416913,Clear,Medium,pomegranate
117,86,48,28.6956201,82.54195839,6.225225239,3.9,116.1616839,Clear,Medium,banana
114,94,53,26.33544853,76.8532006,6.190757459,4.3,118.6858263,Clear,Medium,banana
110,78,50,25.93730186,78.89864446,5.915568968,4.3,98.21747528,Clear,Medium,banana
90,42,43,20.87974371,82.00274423,6.502985292,4.3,202.9355362,Rainy,High,rice
85,58,41,21.77046169,80.31964408,7.038096361,5.1,226.6555374,Rainy,High,rice
60,55,44,23.00445915,82.3207629,7.840207144,6.3,263.9642476,Rainy,High,rice
74,35,40,26.49109635,80.15836264,6.980400905,5.5,242.8640342,Rainy,High,rice
78,42,42,20.13017482,81.60487287,7.628472891,5.8,262.7173405,Rainy,High,rice
69,37,42,23.05804872,83.37011772,7.073453503,5.7,251.0549998,Rainy,High,rice
69,55,38,22.70883798,82.63941394,5.70080568,7.1,271.3248604,Rainy,High,rice
94,53,40,20.27774362,82.89408619,5.718627178,7.1,241.9741949,Rainy,High,rice
89,54,38,24.51588066,83.5352163,6.685346424,7.1,230.4462359,Rainy,High,rice
68,58,38,23.22397386,83.03322691,6.336253525,5.7,221.2091958,Rainy,High,rice
91,53,40,26.52723513,81.41753846,5.386167788,6,264.6148697,Rainy,High,rice
90,46,42,23.97898217,81.45061596,7.50283396,5.8,250.0832336,Rainy,High,rice
78,58,44,26.80079604,80.88684822,5.108681786,5.1,284.4364567,Rainy,High,rice
93,56,36,24.01497622,82.05687182,6.98435366,3.6,185.2773389,Clear,Medium,rice
94,50,37,25.66585205,80.66385045,6.94801983,4.6,209.5869708,Rainy,High,rice
60,48,39,24.28209415,80.30025587,7.042299069,5.9,231.0863347,Rainy,High,rice
85,38,41,21.58711777,82.7883708,6.249050656,4.7,276.6552459,Rainy,High,rice
91,35,39,23.79391957,80.41817957,6.970859754,6.8,206.2611855,Rainy,High,rice
77,38,36,21.8652524,80.1923008,5.953933276,6.6,224.5550169,Rainy,High,rice
88,35,40,23.57943626,83.58760316,5.85393208,5.1,291.2986618,Rainy,High,rice
89,45,36,21.32504158,80.47476396,6.442475375,4.8,185.4974732,Clear,Medium,rice
76,40,43,25.15745531,83.11713476,5.070175667,4.6,231.3843163,Rainy,High,rice
67,59,41,21.94766735,80.97384195,6.012632591,7.4,213.3560921,Rainy,High,rice
83,41,43,21.0525355,82.67839517,6.254028451,5,233.1075816,Rainy,High,rice
98,47,37,23.48381344,81.33265073,7.375482851,6.5,224.0581164,Rainy,High,rice
66,53,41,25.0756354,80.52389148,7.778915154,7.3,257.0038865,Rainy,High,rice
97,59,43,26.35927159,84.04403589,6.286500176,5.3,271.3586137,Rainy,High,rice
97,50,41,24.52922681,80.54498576,7.070959995,7.4,260.2634026,Rainy,High,rice
60,49,44,20.77576147,84.49774397,6.244841491,4.1,240.0810647,Rainy,High,rice
84,51,35,22.30157427,80.64416466,6.043304899,4.9,197.9791215,Clear,Medium,rice
73,57,41,21.44653958,84.94375962,5.824709117,5.1,272.2017204,Rainy,High,rice
92,35,40,22.17931888,80.33127223,6.357389366,7.5,200.0882787,Rainy,High,rice
85,37,39,24.52783742,82.73685569,6.364134968,7.3,224.6757231,Rainy,High,rice
98,53,38,20.26707606,81.63895217,5.01450727,7.5,270.4417274,Rainy,High,rice
88,54,44,25.7354293,83.88266234,6.149410611,5,233.1321372,Rainy,High,rice
95,55,42,26.79533926,82.1480873,5.950660556,3.7,193.3473987,Clear,Medium,rice
99,57,35,26.75754171,81.17734011,5.960370061,4.3,272.2999056,Rainy,High,rice
95,39,36,23.86330467,83.15250801,5.561398642,4.3,285.2493645,Rainy,High,rice
60,43,44,21.01944696,82.95221726,7.416245107,4.6,298.4018471,Rainy,High,rice
63,44,41,24.17298839,83.7287574,5.583370042,6.1,257.0343554,Rainy,High,rice
62,42,36,22.78133816,82.06719137,6.430010215,6.9,248.7183228,Rainy,High,rice
64,45,43,25.62980105,83.52842314,5.534878156,5.3,209.9001977,Rainy,High,rice
83,60,36,25.59704938,80.14509262,6.903985986,7.7,200.834898,Rainy,High,rice
82,40,40,23.83067496,84.81360127,6.271478838,4.6,298.5601175,Rainy,High,rice
85,52,45,26.31355498,82.36698992,7.224285503,7.2,265.5355937,Rainy,High,rice
91,35,38,24.8972823,80.52586088,6.13428721,4.9,183.6793207,Clear,Medium,rice
76,49,42,24.958779,84.47963372,5.206373153,4.7,196.9560008,Clear,Medium,rice
74,39,38,23.24113501,84.59201843,7.782051313,4.4,233.0453455,Rainy,High,rice
79,43,39,21.66628296,80.70960551,7.062779015,6,210.8142087,Rainy,High,rice
88,55,45,24.63544858,80.41363018,7.730367824,7,253.7202781,Rainy,High,rice
60,36,43,23.43121862,83.06310136,5.286203711,7.2,219.9048349,Rainy,High,rice
76,60,39,20.0454142,80.3477562,6.766240045,4.3,208.5810155,Rainy,High,rice
93,56,42,23.85724032,82.22572988,7.382762603,3.4,195.0948311,Clear,Medium,rice
65,60,43,21.97199397,81.89918197,5.658169482,6.6,227.3637009,Rainy,High,rice
95,52,36,26.22916897,83.83625819,5.543360238,5.1,286.5083725,Rainy,High,rice
75,38,39,23.44676801,84.79352417,6.215109715,6.4,283.9338466,Rainy,High,rice
74,54,38,25.65553461,83.47021081,7.120272972,4.5,217.3788583,Rainy,High,rice
91,36,45,24.44345477,82.45432595,5.950647577,7.9,267.9761948,Rainy,High,rice
